file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX199904249,313,0,11,1,0,6
CTX199904249,314,0,43,7,0,4
CTX199904249,315,0,40,3,0,2
CTX199904249,316,0,10,1,0,6
CTX199904249,317,0,11,0,0,8
CTX199904249,318,0,41,9,0,5
CTX199904249,319,0,9,1,0,5
CTX199904249,320,0,41,3,0,2
CTX199904249,321,0,9,1,0,6
CTX199904249,322,0,39,11,0,5
CTX199904249,323,0,36,6,0,2
CTX199904249,324,0,39,4,0,3
CTX199904249,325,0,8,1,0,6
CTX199904249,326,0,42,8,0,4
CTX199904249,327,0,36,6,0,4
CTX199904249,328,0,38,4,0,2
CTX199904249,329,0,42,10,0,4
CTX199904249,330,0,41,9,0,3
CTX199904249,331,0,36,6,0,2
CTX199904249,332,0,42,9,0,3
CTX199904249,333,0,38,6,0,2
CTX199904249,334,0,40,7,0,3
CTX199904249,335,0,10,1,0,6
CTX199904249,336,0,40,10,0,4
CTX199904249,337,0,42,9,0,4
CTX199904249,338,0,45,8,0,6
CTX199904249,339,0,39,11,0,5
CTX199904249,340,0,5,3,0,6
CTX199904249,341,0,41,9,0,5
CTX199904249,342,0,11,1,0,5
CTX199904249,343,0,14,5,0,3
CTX199904249,344,0,10,1,0,6
CTX199904249,345,0,35,5,0,2
CTX199904249,346,0,6,2,0,4
CTX199904249,347,0,41,8,0,5
CTX199904249,348,0,0,0,0,1
CTX199904249,349,0,40,7,0,4
CTX199904249,350,0,11,1,0,6
CTX199904249,351,0,42,8,0,4
CTX199904249,352,0,11,1,0,5
CTX199904249,353,0,9,1,0,7
CTX199904249,354,0,41,10,0,4
CTX199904249,355,0,42,8,0,4
CTX199904249,356,0,11,1,0,5
CTX199904249,357,0,41,9,0,6
CTX199904249,358,0,11,1,0,5
CTX199904249,359,0,41,9,0,6
CTX199904249,360,0,0,0,0,1
CTX199904249,361,0,37,7,0,2
CTX199904249,362,0,11,1,0,5
CTX199904249,363,0,9,1,0,6
CTX199904249,364,0,38,12,0,4
CTX199904249,365,0,11,1,0,6
CTX199904249,366,0,41,9,0,6
CTX199904249,367,0,11,1,0,5
CTX199904249,368,0,37,6,0,3
CTX199904249,369,0,8,1,0,6
CTX199904249,370,0,5,3,0,6
CTX199904249,371,0,5,3,0,6
CTX199904249,372,0,7,1,0,4
CTX199904249,373,0,37,6,0,3
CTX199904249,374,0,11,1,0,6
CTX199904249,375,0,42,8,0,3
CTX199904249,376,0,12,1,0,7
CTX199904249,377,0,35,8,0,4
CTX199904249,378,0,11,1,0,6
CTX199904249,379,0,41,8,0,5
CTX199904249,380,0,37,6,0,2
CTX199904249,381,0,35,7,0,2
CTX199904249,382,0,37,6,0,4
CTX199904249,383,0,39,6,0,4
CTX199904249,384,0,36,7,0,2
CTX199904249,385,0,9,0,0,6
CTX199904249,386,0,41,3,0,2
CTX199904249,387,0,10,3,0,6
CTX199904249,388,0,40,3,0,2
CTX199904249,389,0,37,4,0,2
CTX199904249,390,0,10,1,0,5
CTX199904249,391,0,40,11,0,4
CTX199904249,392,0,9,2,0,5
CTX199904249,393,0,42,9,0,5
CTX199904249,394,0,41,8,0,2
CTX199904249,395,0,10,2,0,7
CTX199904249,396,0,23,6,0,3
CTX199904249,397,0,39,3,0,2
CTX199904249,398,0,20,6,0,4
CTX199904249,399,0,10,1,0,5
CTX199904249,400,0,36,7,0,4
CTX199904249,401,0,0,0,0,1
CTX199904249,402,0,38,5,0,3
CTX199904249,403,0,40,3,0,2
CTX199904249,404,0,36,7,0,2
CTX199904249,405,0,38,6,0,2
CTX199904249,406,0,9,1,0,5
CTX199904249,407,0,42,8,0,5
CTX199904249,408,0,10,1,0,6
CTX199904249,409,0,36,7,0,4
CTX199904249,410,0,36,6,0,3
CTX199904249,411,0,36,6,0,2
CTX199904249,412,0,43,10,0,3
CTX199904249,413,0,10,1,0,4
CTX199904249,414,0,38,6,0,2
CTX199904249,415,0,38,3,0,2
CTX199904249,416,0,36,7,0,4
CTX199904249,417,0,22,7,0,3
CTX199904249,418,0,0,0,0,1
CTX199904249,419,0,40,10,0,4
CTX199904249,420,0,5,3,0,7
CTX199904249,421,0,36,7,0,4
CTX199904249,422,0,12,1,0,6
